235;253;Метеонаблюдатель
236;252;Мельник
237;245;Машинист
238;244;Мастер
239;203;Контролер
240;205;Концертмейстер
241;586;Помощник машиниста тепловоза
242;587;Помощник машиниста электровоза
243;591;Помощник начальника отдела
244;594;Помощник начальника пожарной команды
245;595;Помощник начальника пункта
246;598;Помощник начальника службы
247;600;Помощник начальника технической части
248;602;Помощник начальника отдела
249;604;Помощник начальника типографии
250;609;Помощник начальника железнодорожной станции
251;241;Маляр
252;668;Скреперист
253;283259;Водители-электромеханики АП-5/Д и АПА-80
254;981439;Специалисты газодобывающих и зарядных станций (установок)
255;960921;Специалисты водоснабжения и канализации
256;878265;Младший специалист медицинской службы
257;853037;Специалисты многоосных автомобилей
258;842259;Специалисты гус. тягочей и транспортеров
259;660506;Специалисты трансф. п/ст. и распред. устройств
260;544405;Специалисты ср-в комплексного тех. контроля
261;503369;Специалисты РЛС наблюд. за бл. возд. и надв. обстановкой
262;425404;Специалисты приемных радиоустройств
263;172039;Специалисты водолазных работ (кроме ВМФ)
264;124037;Водители колесных БТР-60, 70, 80
265;124038;Водители колесных БТР-60
266;124039;Водители колесных БТР-70
267;124040;Водители колесных БТР-80
268;167259;Специалисты переправочных средств
269;280258;Специалисты аэродромно-эксплуатационных машин
270;302653;Специалисты кораблевождения и зрительной связи
271;366995;Специалисты корабельного электрооборудования
272;369995;Специалисты корабельных дизель-генераторов
273;370269;Специалисты энергоустановок торпедных и ракетных катеров
274;379039;Специалисты водолазных работ
275;402233;Специалисты подземных и подводных кабельных линий связи
276;404256;Специалисты дальней связи
277;405940;Специалисты телеграфной аппаратуры
278;420640;Специалисты КВ радиостанций малой мощности
279;422641;Специалисты УКВ и ДМВ радиостанций средней мощности
280;429640;Специалисты корабельных средств радиосвязи
281;437543;Специалисты радиоперехвата и пеленгования РЛС передач
282;461256;Специалисты малоканальных радиорелейных станций
283;477940;Специалисты радиотелеграфной слуховой ЗАС
284;500543;Специалисты РЛС метрового диапазона
285;506543;Специалисты штурманских радиолокационных средств
286;530543;Специалисты радиопеленгаторов УКВ и ДЦМ диапазонов
287;621543;Специалисты приема и передачи информации АСУ
288;659256;Специалисты силовых и осветительных агрегатов
289;663005;Специалисты аккумуляторных и зарядных устройств
290;666995;Специалисты электротехн-ких средств заграждений и сигнал-ции
291;837037;Водители автомобилей категории «С»
292;837259;Водители - электромеханики
293;838210;Водители автомобильных и пневмоколесных кранов
294;843258;Механики-водители плавающих гусеничных тягачей МТ-ЛБ
295;849669;Слесари по ремонту автомобилей
296;859037;Водители топливомаслозаправщиков
297;980007;Специалисты паросиловых и котельных установок
298;982037;Специалисты компрессорных установок
299;528256;Специалисты приводных радиостанций и радиомаркеров
300;845037;Водители автомобилей категории «Д»
301;846037;Водители автомобилей категории «Е»
302;702037;Водители автотопливомаслозаправщиков АТМЗ
303;100915;Стрелок-парашютист
304;837040;"Водители категории ""Д"""
305;837038;"Водители категории ""В,С"""
